timestamp,cond,trial,success,t_cue,t_zone,p,key
0,7,1,0,100,80,1500,1
166,7,2,0,100,80,1500,1
0,7,3,0,100,80,1500,1
200,7,4,0,100,80,1500,1
167,7,5,0,100,80,1500,1
184,7,6,0,100,80,1500,1
133,7,7,0,100,80,1500,1
-33,7,8,0,100,80,1500,1
-34,7,9,0,100,80,1500,1
34,7,10,1,100,80,1500,1
-34,7,11,0,100,80,1500,1
16,7,12,1,100,80,1500,1
166,7,13,0,100,80,1500,1
200,7,14,0,100,80,1500,1
51,7,15,1,100,80,1500,1
17,7,16,1,100,80,1500,1
100,7,17,0,100,80,1500,1
51,7,18,1,100,80,1500,1
50,7,19,1,100,80,1500,1
117,7,20,0,100,80,1500,1
99,7,21,0,100,80,1500,1
-67,7,22,0,100,80,1500,1
-83,7,23,0,100,80,1500,1
0,7,24,1,100,80,1500,1
66,7,25,1,100,80,1500,1
151,7,26,0,100,80,1500,1
100,7,27,0,100,80,1500,1
35,7,28,1,100,80,1500,1
65,7,29,1,100,80,1500,1
134,7,30,0,100,80,1500,1
34,7,31,1,100,80,1500,1
84,7,32,0,100,80,1500,1
83,7,33,0,100,80,1500,1
84,7,34,0,100,80,1500,1
50,7,35,1,100,80,1500,1
-1,4,1,0,0,150,1500,1
33,4,2,1,0,150,1500,1
50,4,3,1,0,150,1500,1
51,4,4,1,0,150,1500,1
33,4,5,1,0,150,1500,1
17,4,6,1,0,150,1500,1
0,4,7,1,0,150,1500,1
0,4,8,0,0,150,1500,1
165,4,9,0,0,150,1500,1
133,4,10,1,0,150,1500,1
149,4,11,1,0,150,1500,1
182,4,12,0,0,150,1500,1
200,4,13,0,0,150,1500,1
84,4,14,1,0,150,1500,1
0,4,15,1,0,150,1500,1
0,4,16,1,0,150,1500,1
0,4,17,1,0,150,1500,1
0,4,18,1,0,150,1500,1
0,4,19,0,0,150,1500,1
33,4,20,1,0,150,1500,1
83,4,21,1,0,150,1500,1
99,4,22,1,0,150,1500,1
84,4,23,1,0,150,1500,1
183,4,24,0,0,150,1500,1
134,4,25,1,0,150,1500,1
100,4,26,1,0,150,1500,1
103,4,27,1,0,150,1500,1
183,4,28,0,0,150,1500,1
150,4,29,1,0,150,1500,1
150,4,30,1,0,150,1500,1
149,4,31,1,0,150,1500,1
150,4,32,1,0,150,1500,1
233,4,33,0,0,150,1500,1
168,4,34,0,0,150,1500,1
116,4,35,1,0,150,1500,1
183,2,1,0,0,150,1000,1
550,2,2,0,0,150,1000,1
367,2,3,0,0,150,1000,1
100,2,4,1,0,150,1000,1
117,2,5,1,0,150,1000,1
149,2,6,1,0,150,1000,1
216,2,7,0,0,150,1000,1
200,2,8,0,0,150,1000,1
117,2,9,1,0,150,1000,1
84,2,10,1,0,150,1000,1
16,2,11,1,0,150,1000,1
52,2,12,1,0,150,1000,1
66,2,13,1,0,150,1000,1
82,2,14,1,0,150,1000,1
100,2,15,1,0,150,1000,1
32,2,16,1,0,150,1000,1
16,2,17,1,0,150,1000,1
99,2,18,1,0,150,1000,1
84,2,19,1,0,150,1000,1
116,2,20,1,0,150,1000,1
83,2,21,1,0,150,1000,1
134,2,22,1,0,150,1000,1
134,2,23,1,0,150,1000,1
133,2,24,1,0,150,1000,1
116,2,25,1,0,150,1000,1
82,2,26,1,0,150,1000,1
116,2,27,1,0,150,1000,1
133,2,28,1,0,150,1000,1
167,2,29,0,0,150,1000,1
166,2,30,0,0,150,1000,1
150,2,31,1,0,150,1000,1
150,2,32,1,0,150,1000,1
100,2,33,1,0,150,1000,1
84,2,34,1,0,150,1000,1
33,2,35,1,0,150,1000,1
67,6,1,1,100,150,1000,1
-50,6,2,0,100,150,1000,1
-1,6,3,0,100,150,1000,1
65,6,4,1,100,150,1000,1
149,6,5,1,100,150,1000,1
166,6,6,0,100,150,1000,1
116,6,7,1,100,150,1000,1
99,6,8,1,100,150,1000,1
117,6,9,1,100,150,1000,1
151,6,10,0,100,150,1000,1
101,6,11,1,100,150,1000,1
117,6,12,1,100,150,1000,1
84,6,13,1,100,150,1000,1
84,6,14,1,100,150,1000,1
50,6,15,1,100,150,1000,1
67,6,16,1,100,150,1000,1
33,6,17,1,100,150,1000,1
34,6,18,1,100,150,1000,1
17,6,19,1,100,150,1000,1
99,6,20,1,100,150,1000,1
-16,6,21,0,100,150,1000,1
-1,6,22,0,100,150,1000,1
33,6,23,1,100,150,1000,1
66,6,24,1,100,150,1000,1
200,6,25,0,100,150,1000,1
151,6,26,0,100,150,1000,1
117,6,27,1,100,150,1000,1
100,6,28,1,100,150,1000,1
83,6,29,1,100,150,1000,1
84,6,30,1,100,150,1000,1
100,6,31,1,100,150,1000,1
49,6,32,1,100,150,1000,1
66,6,33,1,100,150,1000,1
118,6,34,1,100,150,1000,1
83,6,35,1,100,150,1000,1
0,3,1,1,0,80,1500,1
332,3,2,0,0,80,1500,1
1367,3,3,0,0,80,1500,1
1499,3,4,0,0,80,1500,1
0,3,5,0,0,80,1500,1
116,3,6,0,0,80,1500,1
0,3,7,0,0,80,1500,1
131,3,8,0,0,80,1500,1
485,3,9,0,0,80,1500,1
50,3,10,1,0,80,1500,1
0,3,11,0,0,80,1500,1
67,3,12,1,0,80,1500,1
116,3,13,0,0,80,1500,1
99,3,14,0,0,80,1500,1
49,3,15,1,0,80,1500,1
50,3,16,1,0,80,1500,1
118,3,17,0,0,80,1500,1
116,3,18,0,0,80,1500,1
217,3,19,0,0,80,1500,1
183,3,20,0,0,80,1500,1
117,3,21,0,0,80,1500,1
1434,3,22,0,0,80,1500,1
0,3,23,0,0,80,1500,1
32,3,24,1,0,80,1500,1
1416,3,25,0,0,80,1500,1
0,3,26,0,0,80,1500,1
0,3,27,1,0,80,1500,1
0,3,28,1,0,80,1500,1
0,3,29,1,0,80,1500,1
32,3,30,1,0,80,1500,1
49,3,31,1,0,80,1500,1
18,3,32,1,0,80,1500,1
84,3,33,0,0,80,1500,1
1383,3,34,0,0,80,1500,1
1449,3,35,0,0,80,1500,1
0,8,1,0,100,150,1500,1
184,8,2,0,100,150,1500,1
183,8,3,0,100,150,1500,1
83,8,4,1,100,150,1500,1
100,8,5,1,100,150,1500,1
133,8,6,1,100,150,1500,1
50,8,7,1,100,150,1500,1
118,8,8,1,100,150,1500,1
133,8,9,1,100,150,1500,1
117,8,10,1,100,150,1500,1
67,8,11,1,100,150,1500,1
16,8,12,1,100,150,1500,1
67,8,13,1,100,150,1500,1
16,8,14,1,100,150,1500,1
100,8,15,1,100,150,1500,1
134,8,16,1,100,150,1500,1
134,8,17,1,100,150,1500,1
68,8,18,1,100,150,1500,1
100,8,19,1,100,150,1500,1
50,8,20,1,100,150,1500,1
66,8,21,1,100,150,1500,1
99,8,22,1,100,150,1500,1
184,8,23,0,100,150,1500,1
33,8,24,1,100,150,1500,1
16,8,25,1,100,150,1500,1
98,8,26,1,100,150,1500,1
183,8,27,0,100,150,1500,1
149,8,28,1,100,150,1500,1
149,8,29,1,100,150,1500,1
67,8,30,1,100,150,1500,1
33,8,31,1,100,150,1500,1
-17,8,32,0,100,150,1500,1
0,8,33,1,100,150,1500,1
100,8,34,1,100,150,1500,1
133,8,35,1,100,150,1500,1
83,5,1,0,100,80,1000,1
300,5,2,0,100,80,1000,1
150,5,3,0,100,80,1000,1
-17,5,4,0,100,80,1000,1
17,5,5,1,100,80,1000,1
167,5,6,0,100,80,1000,1
165,5,7,0,100,80,1000,1
133,5,8,0,100,80,1000,1
51,5,9,1,100,80,1000,1
116,5,10,0,100,80,1000,1
100,5,11,0,100,80,1000,1
66,5,12,1,100,80,1000,1
34,5,13,1,100,80,1000,1
0,5,14,1,100,80,1000,1
-1,5,15,0,100,80,1000,1
50,5,16,1,100,80,1000,1
117,5,17,0,100,80,1000,1
33,5,18,1,100,80,1000,1
-16,5,19,0,100,80,1000,1
17,5,20,1,100,80,1000,1
83,5,21,0,100,80,1000,1
16,5,22,1,100,80,1000,1
67,5,23,1,100,80,1000,1
84,5,24,0,100,80,1000,1
34,5,25,1,100,80,1000,1
117,5,26,0,100,80,1000,1
16,5,27,1,100,80,1000,1
15,5,28,1,100,80,1000,1
135,5,29,0,100,80,1000,1
100,5,30,0,100,80,1000,1
1,5,31,1,100,80,1000,1
17,5,32,1,100,80,1000,1
33,5,33,1,100,80,1000,1
62,5,34,1,100,80,1000,1
34,5,35,1,100,80,1000,1
16,1,1,1,0,80,1000,1
101,1,2,0,0,80,1000,1
100,1,3,0,0,80,1000,1
17,1,4,1,0,80,1000,1
17,1,5,1,0,80,1000,1
68,1,6,1,0,80,1000,1
101,1,7,0,0,80,1000,1
66,1,8,1,0,80,1000,1
0,1,9,0,0,80,1000,1
17,1,10,1,0,80,1000,1
17,1,11,1,0,80,1000,1
83,1,12,0,0,80,1000,1
16,1,13,1,0,80,1000,1
84,1,14,0,0,80,1000,1
50,1,15,1,0,80,1000,1
132,1,16,0,0,80,1000,1
34,1,17,1,0,80,1000,1
17,1,18,1,0,80,1000,1
0,1,19,1,0,80,1000,1
0,1,20,1,0,80,1000,1
32,1,21,1,0,80,1000,1
116,1,22,0,0,80,1000,1
17,1,23,1,0,80,1000,1
50,1,24,1,0,80,1000,1
101,1,25,0,0,80,1000,1
50,1,26,1,0,80,1000,1
133,1,27,0,0,80,1000,1
102,1,28,0,0,80,1000,1
34,1,29,1,0,80,1000,1
33,1,30,1,0,80,1000,1
84,1,31,0,0,80,1000,1
34,1,32,1,0,80,1000,1
50,1,33,1,0,80,1000,1
17,1,34,1,0,80,1000,1
0,1,35,1,0,80,1000,1
199,1,1,0,0,80,1000,0
249,1,2,0,0,80,1000,0
216,1,3,0,0,80,1000,0
101,1,4,0,0,80,1000,0
34,1,5,1,0,80,1000,0
83,1,6,0,0,80,1000,0
116,1,7,0,0,80,1000,0
101,1,8,0,0,80,1000,0
33,1,9,1,0,80,1000,0
51,1,10,1,0,80,1000,0
68,1,11,1,0,80,1000,0
34,1,12,1,0,80,1000,0
0,1,13,1,0,80,1000,0
33,1,14,1,0,80,1000,0
99,1,15,0,0,80,1000,0
50,1,16,1,0,80,1000,0
100,1,17,0,0,80,1000,0
100,1,18,0,0,80,1000,0
67,1,19,1,0,80,1000,0
116,1,20,0,0,80,1000,0
