timestamp,cond,trial,success,t_cue,t_zone,p,key
76.0,7,1,0,100,80,1500,0
28.0,7,2,1,100,80,1500,0
204.0,7,3,0,100,80,1500,0
60.0,7,4,1,100,80,1500,0
140.0,7,5,0,100,80,1500,0
28.0,7,6,1,100,80,1500,0
-20.0,7,7,0,100,80,1500,0
60.0,7,8,1,100,80,1500,0
60.0,7,9,1,100,80,1500,0
76.0,7,10,0,100,80,1500,0
60.0,7,11,1,100,80,1500,0
76.0,7,12,0,100,80,1500,0
44.0,7,13,1,100,80,1500,0
60.0,7,14,1,100,80,1500,0
-20.0,7,15,0,100,80,1500,0
44.0,7,16,1,100,80,1500,0
92.0,7,17,0,100,80,1500,0
60.0,7,18,1,100,80,1500,0
92.0,7,19,0,100,80,1500,0
76.0,7,20,0,100,80,1500,0
76.0,7,21,0,100,80,1500,0
-20.0,7,22,0,100,80,1500,0
60.0,7,23,1,100,80,1500,0
76.0,7,24,0,100,80,1500,0
60.0,7,25,1,100,80,1500,0
44.0,7,26,1,100,80,1500,0
60.0,7,27,1,100,80,1500,0
60.0,7,28,1,100,80,1500,0
76.0,7,29,0,100,80,1500,0
-20.0,7,30,0,100,80,1500,0
60.0,7,31,1,100,80,1500,0
92.0,7,32,0,100,80,1500,0
76.0,7,33,0,100,80,1500,0
60.0,7,34,1,100,80,1500,0
92.0,7,35,0,100,80,1500,0
28.0,7,1,1,100,80,1500,1
12.0,7,2,1,100,80,1500,1
92.0,7,3,0,100,80,1500,1
76.0,7,4,0,100,80,1500,1
76.0,7,5,0,100,80,1500,1
60.0,7,6,1,100,80,1500,1
76.0,7,7,0,100,80,1500,1
60.0,7,8,1,100,80,1500,1
44.0,7,9,1,100,80,1500,1
60.0,7,10,1,100,80,1500,1
76.0,7,11,0,100,80,1500,1
92.0,7,12,0,100,80,1500,1
-100.0,7,13,0,100,80,1500,1
-20.0,7,14,0,100,80,1500,1
92.0,7,15,0,100,80,1500,1
92.0,7,16,0,100,80,1500,1
44.0,7,17,1,100,80,1500,1
28.0,7,18,1,100,80,1500,1
60.0,7,19,1,100,80,1500,1
92.0,7,20,0,100,80,1500,1
60.0,7,21,1,100,80,1500,1
1372.0,7,22,0,100,80,1500,1
-52.0,7,23,0,100,80,1500,1
76.0,7,24,0,100,80,1500,1
92.0,7,25,0,100,80,1500,1
76.0,7,26,0,100,80,1500,1
92.0,7,27,0,100,80,1500,1
-4.0,7,28,1,100,80,1500,1
76.0,7,29,0,100,80,1500,1
