millis,mouseX,mouseY,pose_Rx,pose_Ry,pose_Rz,isPrimary
38392,404,817,-0.069564,-0.086966,0.049112,0
40198,2116,348,-0.085066,0.337286,0.139819,1
41571,80,324,-0.161481,0.002627,0.062995,0
43089,1990,865,-0.052587,0.258295,0.060361,1
44239,1797,661,-0.055208,0.256239,0.053005,0
45855,3134,69,-0.134712,0.520187,0.215469,1
47666,1453,193,-0.108955,0.267982,0.114393,0
49058,2679,658,-0.114359,0.403393,0.096487,1
50582,562,289,-0.150677,-0.006087,0.075087,0
51966,3459,786,-0.048934,0.568571,0.110638,1
53636,924,88,-0.132578,0.093518,0.043348,0
55037,2302,819,-0.043318,0.359757,0.016008,1
56849,1574,207,-0.063509,0.26476,0.048982,0
57936,2879,558,-0.05025,0.395223,0.029964,1
59303,775,102,-0.206904,0.081043,0.041788,0
60515,3011,1006,-0.018817,0.479239,0.043815,1
61622,748,474,-0.028686,0.107372,0.046359,0
63158,3473,338,-0.030066,0.379622,0.017501,1
64368,1681,508,-0.045887,0.304893,0.028321,0
65576,2367,118,-0.041123,0.366923,0.019575,1
66772,468,263,-0.136042,-0.016874,0.009913,0
68181,2065,750,-0.0333,0.276986,0.043551,1
69355,1087,347,-0.036084,0.165179,0.063584,0
70518,3026,974,-0.014827,0.426017,0.040008,1
71844,1699,472,-0.022533,0.339586,0.016252,0
72884,2054,706,-0.016435,0.354721,0.037625,1
74102,628,793,-0.091416,0.070458,0.058839,0
75569,3186,550,0.010067,0.531142,0.09499,1
76913,359,505,-0.116481,-0.090872,0.04855,0
78088,2600,892,0.016833,0.373613,0.031297,1
79379,1611,396,-0.069083,0.279223,0.041722,0
80753,3117,235,-0.081507,0.46467,0.113136,1
81901,1223,233,-0.077495,0.210499,0.081402,0
83072,3070,931,-0.038777,0.426526,0.051728,1
84602,335,955,-0.084705,-0.064815,0.050593,0
86389,2042,148,-0.084625,0.358337,0.149532,1
87393,1722,734,-0.057814,0.297609,0.096958,0
88656,3698,257,-0.105115,0.55651,0.2049,1
89864,1003,758,-0.00855,0.11589,0.097371,0
90824,3039,644,-0.027775,0.439345,0.089212,1
92269,224,620,-0.079255,-0.117704,-0.028005,0
93625,2182,190,-0.037721,0.382833,0.038709,1
94842,76,554,-0.110503,-0.056184,0.014052,0
96342,2246,603,-0.065807,0.354478,0.076682,1
97458,1153,142,-0.079107,0.177494,0.07779,0
98477,2159,107,-0.081506,0.29697,0.057483,1
99655,1498,714,-0.043757,0.242142,0.062978,0
101116,3069,800,-0.016534,0.453621,0.078637,1
102391,1649,791,0.011622,0.321155,0.047765,0
104105,3610,104,-0.090909,0.574771,0.177613,1
105368,1402,698,-0.037119,0.285525,0.077592,0
106440,3645,222,-0.081703,0.55697,0.158969,1
108059,130,232,-0.172606,-0.148768,0.054574,0
109229,3595,508,-0.043233,0.53527,0.138915,1
110840,1408,735,-0.046144,0.242644,0.077782,0
112394,3033,613,-0.003261,0.502689,0.109856,1
113444,1335,71,-0.084688,0.236843,0.087874,0
114646,2987,825,-0.022337,0.476981,0.068809,1
115745,371,187,-0.131704,-0.061532,0.016964,0
117057,2690,232,-0.071284,0.352684,0.090464,1
118396,1714,894,-0.046184,0.303613,0.082618,0
119656,3454,870,-0.002063,0.540259,0.165206,1
121354,1258,690,-0.040215,0.180025,0.115983,0
122555,2952,136,-0.100046,0.459053,0.226814,1
123709,1336,993,-0.043612,0.251205,0.126982,0
125054,3474,652,-0.040002,0.399182,0.112469,1
126273,1790,536,-0.060733,0.339738,0.112352,0
127508,2033,496,-0.054136,0.339144,0.120838,1
128588,1180,361,-0.094221,0.214983,0.141689,0
129657,2009,275,-0.092853,0.273012,0.11721,1
130608,1515,985,-0.062938,0.249583,0.120373,0
132052,2324,936,-0.014515,0.324239,0.090111,1
133379,180,672,-0.111319,-0.195521,0.009836,0
134461,2009,425,-0.089343,0.263082,0.09517,1
135598,180,581,-0.151648,-0.116985,0.049693,0
136705,2614,479,-0.051055,0.350285,0.072978,1
137817,1417,117,-0.114643,0.211183,0.118569,0
138849,3548,846,-0.054184,0.508446,0.114085,1
140165,762,936,-0.08698,0.067907,0.033203,0
141412,2776,430,-0.067423,0.405946,0.101932,1
142538,670,229,-0.190398,0.052089,0.051703,0
143540,2405,348,-0.087191,0.287337,0.063012,1
144422,1791,99,-0.101823,0.256924,0.065731,0
145842,3771,436,-0.062067,0.556036,0.096705,1
146874,893,521,-0.085533,0.089645,0.014093,0
147903,2561,858,-0.032087,0.350293,0.007487,1
148821,1162,800,-0.026363,0.151675,0.021981,0
149931,2084,996,-0.005127,0.368598,0.019642,1
150916,541,273,-0.154564,0.011031,0.01777,0
151809,2239,954,-0.039526,0.286153,0.02849,1
152654,1202,811,-0.042556,0.153337,0.057351,0
154120,2316,80,-0.099504,0.375816,0.096405,1
155153,1164,398,-0.105974,0.182877,0.107739,0
156336,3542,966,-0.01786,0.530824,0.071423,1
157730,1272,391,-0.083276,0.187255,0.042718,0
158911,2915,123,-0.082248,0.403695,0.073561,1
160106,154,429,-0.170197,-0.130949,0.078497,0
161681,2336,630,-0.074439,0.3505,0.104861,1
