millis,mouseX,mouseY,pose_Rx,pose_Ry,pose_Rz,isPrimary
38421,114,709,-0.102847,-0.214038,0.015614,0
40586,2210,947,-0.165702,-0.35244,-0.061335,1
41871,1640,696,-0.004355,0.131442,-0.032697,0
42987,2303,521,-0.287068,-0.291375,-0.131336,1
44584,1368,127,-0.197529,0.075662,-0.062035,0
46175,2919,914,-0.229671,-0.142715,-0.059961,1
47442,744,590,-0.178645,-0.083903,-0.062742,0
49444,3687,502,-0.324323,0.073162,-0.127286,1
51735,1846,435,-0.017322,0.248834,-0.098473,0
53034,2534,940,-0.231797,-0.25797,-0.123423,1
55098,85,179,-0.191152,-0.264259,-0.057311,0
56357,2909,198,-0.226692,-0.233601,-0.118679,1
58379,1458,126,-0.205786,0.100972,-0.055551,0
59590,2295,254,-0.247385,-0.272163,-0.14963,1
60981,244,983,-0.076435,-0.204884,-0.003141,0
62343,2659,502,-0.267251,-0.25881,-0.090476,1
63662,1127,207,-0.163386,0.014935,-0.057073,0
65434,3644,129,-0.20529,0.031017,-0.098062,1
67119,1633,406,-0.031999,0.193401,-0.09098,0
68414,3255,167,-0.271292,-0.03368,-0.125288,1
69757,189,198,-0.235037,-0.187163,-0.072071,0
71682,2348,449,-0.267507,-0.283777,-0.223162,1
73717,1647,211,-0.118338,0.103704,-0.071053,0
74925,2313,845,-0.204219,-0.290763,-0.172455,1
76081,1593,704,-0.054966,0.126993,-0.067275,0
77676,3084,967,-0.250528,-0.149361,-0.079346,1
78815,1301,722,0.034207,0.127087,-0.042978,0
80331,3716,695,-0.299062,0.107942,-0.119116,1
82283,1676,199,-0.043586,0.264674,-0.065626,0
83378,3761,315,-0.369153,0.194386,-0.102059,1
84821,1734,733,-0.006261,0.247287,-0.100377,0
86538,3000,381,-0.26223,-0.093016,-0.133367,1
87901,1701,976,-0.00574,0.210186,-0.086466,0
89030,2030,677,-0.264608,-0.363687,-0.286188,1
90388,994,87,-0.212301,-0.01671,-0.119754,0
91346,2384,843,-0.206438,-0.27981,-0.238039,1
92705,920,515,-0.172801,-0.049721,-0.064218,0
94108,3373,332,-0.289426,-0.096396,-0.175245,1
95317,1073,632,-0.20514,-0.045842,-0.107046,0
96530,2119,308,-0.2915,-0.343887,-0.376806,1
97624,415,639,-0.198654,-0.179986,-0.111159,0
98837,2094,917,-0.162778,-0.335881,-0.179701,1
100366,281,228,-0.189299,-0.270105,-0.126115,0
102102,2935,702,-0.275485,-0.237885,-0.172776,1
103529,726,513,-0.193318,-0.1461,-0.076106,0
104858,3305,563,-0.254732,-0.12093,-0.147385,1
105898,929,287,-0.221575,-0.079874,-0.088004,0
107208,3103,538,-0.271181,-0.159673,-0.199218,1
108483,1156,75,-0.230874,0.002567,-0.115632,0
110376,2973,137,-0.315262,-0.178872,-0.221937,1
111480,332,103,-0.243583,-0.208934,-0.106182,0
112673,3027,964,-0.277492,-0.212942,-0.14591,1
113604,817,427,-0.211461,-0.17651,-0.111772,0
115028,3484,375,-0.29042,-0.068408,-0.182061,1
116375,1775,708,-0.071724,0.165045,-0.097031,0
117695,2406,1005,-0.225764,-0.256992,-0.23126,1
118923,787,375,-0.228218,-0.147276,-0.080426,0
120096,2758,769,-0.287088,-0.225515,-0.164389,1
121130,125,651,-0.193487,-0.234143,-0.108543,0
122337,2936,291,-0.299092,-0.204308,-0.214965,1
123497,690,1007,-0.172069,-0.12743,-0.083434,0
124970,2838,202,-0.298646,-0.220908,-0.174496,1
125982,885,354,-0.170507,-0.07579,-0.08566,0
127468,2342,372,-0.255233,-0.291004,-0.171419,1
128769,1130,188,-0.205159,-0.111273,-0.100892,0
130741,2623,79,-0.29013,-0.251016,-0.209173,1
132211,1614,721,-0.182235,0.050252,-0.126516,0
133317,2785,675,-0.293869,-0.19401,-0.189873,1
134597,369,194,-0.214665,-0.195267,-0.136376,0
135808,3472,123,-0.322529,-0.082303,-0.16943,1
137336,856,950,-0.08833,-0.009554,-0.050461,0
138858,2131,207,-0.503244,-0.291484,-0.209159,1
140354,1569,124,-0.031274,0.224523,-0.060737,0
141574,2589,363,-0.272021,-0.21304,-0.201241,1
143143,169,940,-0.130491,-0.234457,-0.059569,0
145191,2351,840,-0.167776,-0.336202,-0.173429,1
146313,188,797,-0.170465,-0.294175,-0.072306,0
147556,2284,507,-0.27637,-0.357546,-0.234003,1
148817,558,352,-0.208335,-0.199603,-0.1359,0
150032,3747,662,-0.286662,-0.060771,-0.125492,1
151416,1251,883,-0.18444,-0.049841,-0.109853,0
152551,2299,800,-0.221507,-0.30332,-0.195883,1
154037,1597,588,-0.087698,0.106552,-0.141414,0
155731,2520,795,-0.30046,-0.255391,-0.216551,1
157117,533,617,-0.217187,-0.2308,-0.141594,0
158738,2758,437,-0.272886,-0.260473,-0.212497,1
160038,616,589,-0.207744,-0.206792,-0.127561,0
161436,3687,870,-0.251302,-0.115819,-0.119914,1
162873,1702,713,-0.033898,0.111455,-0.089414,0
164219,2568,464,-0.23667,-0.244287,-0.236098,1
165463,547,409,-0.215247,-0.194329,-0.1545,0
166759,3491,409,-0.257855,-0.126282,-0.169606,1
168367,747,246,-0.219301,-0.178974,-0.129146,0
169806,3326,93,-0.248185,-0.222261,-0.166444,1
170831,1073,384,-0.215567,-0.069406,-0.10524,0
172164,3771,759,-0.259099,-0.059174,-0.123871,1
173651,1795,513,-0.074762,0.10513,-0.137763,0
174914,2637,134,-0.324773,-0.252472,-0.247791,1
